problem_id,rule,expression,expression_latex,ground_truth,ground_truth_latex
P001,quotient,x/(cos(x) + 3),\frac{x}{\cos{\left(x \right)} + 3},x*sin(x)/(cos(x) + 3)**2 + 1/(cos(x) + 3),\frac{x \sin{\left(x \right)}}{\left(\cos{\left(x \right)} + 3\right)^{2}} + \frac{1}{\cos{\left(x \right)} + 3}
P002,chain,sin(x**2),\sin{\left(x^{2} \right)},2*x*cos(x**2),2 x \cos{\left(x^{2} \right)}
P003,product,x*exp(x),x e^{x},x*exp(x) + exp(x),x e^{x} + e^{x}
P004,chain,cos(x)**3,\cos^{3}{\left(x \right)},-3*sin(x)*cos(x)**2,- 3 \sin{\left(x \right)} \cos^{2}{\left(x \right)}
P005,product,x**5,x^{5},5*x**4,5 x^{4}
P006,chain,cos(x),\cos{\left(x \right)},-sin(x),- \sin{\left(x \right)}
P007,product,exp(x)*cos(x),e^{x} \cos{\left(x \right)},-exp(x)*sin(x) + exp(x)*cos(x),- e^{x} \sin{\left(x \right)} + e^{x} \cos{\left(x \right)}
P008,product,x**2*cos(x),x^{2} \cos{\left(x \right)},-x**2*sin(x) + 2*x*cos(x),- x^{2} \sin{\left(x \right)} + 2 x \cos{\left(x \right)}
P009,product_chain,x**3*cos(sin(x)),x^{3} \cos{\left(\sin{\left(x \right)} \right)},-x**3*sin(sin(x))*cos(x) + 3*x**2*cos(sin(x)),- x^{3} \sin{\left(\sin{\left(x \right)} \right)} \cos{\left(x \right)} + 3 x^{2} \cos{\left(\sin{\left(x \right)} \right)}
P010,product_chain,exp(x)*cos(x**2),e^{x} \cos{\left(x^{2} \right)},-2*x*exp(x)*sin(x**2) + exp(x)*cos(x**2),- 2 x e^{x} \sin{\left(x^{2} \right)} + e^{x} \cos{\left(x^{2} \right)}
P011,product,x**3*sin(x),x^{3} \sin{\left(x \right)},x**3*cos(x) + 3*x**2*sin(x),x^{3} \cos{\left(x \right)} + 3 x^{2} \sin{\left(x \right)}
P012,quotient,x/(x**3 + 1),\frac{x}{x^{3} + 1},-3*x**3/(x**3 + 1)**2 + 1/(x**3 + 1),- \frac{3 x^{3}}{\left(x^{3} + 1\right)^{2}} + \frac{1}{x^{3} + 1}
P013,chain,x**2,x^{2},2*x,2 x
P014,chain,exp(x),e^{x},exp(x),e^{x}
P015,chain,x**4,x^{4},4*x**3,4 x^{3}
P016,product_chain,x*sin(x)**3,x \sin^{3}{\left(x \right)},3*x*sin(x)**2*cos(x) + sin(x)**3,3 x \sin^{2}{\left(x \right)} \cos{\left(x \right)} + \sin^{3}{\left(x \right)}
P017,product,exp(x)*sin(x),e^{x} \sin{\left(x \right)},exp(x)*sin(x) + exp(x)*cos(x),e^{x} \sin{\left(x \right)} + e^{x} \cos{\left(x \right)}
P018,product_chain,x*exp(cos(x)),x e^{\cos{\left(x \right)}},-x*exp(cos(x))*sin(x) + exp(cos(x)),- x e^{\cos{\left(x \right)}} \sin{\left(x \right)} + e^{\cos{\left(x \right)}}
P019,product_chain,sin(x)*cos(x),\sin{\left(x \right)} \cos{\left(x \right)},-sin(x)**2 + cos(x)**2,- \sin^{2}{\left(x \right)} + \cos^{2}{\left(x \right)}
P020,product,x**3*exp(x),x^{3} e^{x},x**3*exp(x) + 3*x**2*exp(x),x^{3} e^{x} + 3 x^{2} e^{x}
P021,product,x**2*sin(x),x^{2} \sin{\left(x \right)},x**2*cos(x) + 2*x*sin(x),x^{2} \cos{\left(x \right)} + 2 x \sin{\left(x \right)}
P022,quotient,exp(x)/(sin(x) + 1),\frac{e^{x}}{\sin{\left(x \right)} + 1},exp(x)/(sin(x) + 1) - exp(x)*cos(x)/(sin(x) + 1)**2,\frac{e^{x}}{\sin{\left(x \right)} + 1} - \frac{e^{x} \cos{\left(x \right)}}{\left(\sin{\left(x \right)} + 1\right)^{2}}
P023,product_chain,x**2*exp(3*x),x^{2} e^{3 x},3*x**2*exp(3*x) + 2*x*exp(3*x),3 x^{2} e^{3 x} + 2 x e^{3 x}
P024,product_chain,cos(x)*cos(cos(x)),\cos{\left(x \right)} \cos{\left(\cos{\left(x \right)} \right)},sin(x)*sin(cos(x))*cos(x) - sin(x)*cos(cos(x)),\sin{\left(x \right)} \sin{\left(\cos{\left(x \right)} \right)} \cos{\left(x \right)} - \sin{\left(x \right)} \cos{\left(\cos{\left(x \right)} \right)}
P025,chain,cos(x**2),\cos{\left(x^{2} \right)},-2*x*sin(x**2),- 2 x \sin{\left(x^{2} \right)}
P026,chain,x**3,x^{3},3*x**2,3 x^{2}
P027,quotient,cos(x)/(x**2 + 2),\frac{\cos{\left(x \right)}}{x^{2} + 2},-2*x*cos(x)/(x**2 + 2)**2 - sin(x)/(x**2 + 2),- \frac{2 x \cos{\left(x \right)}}{\left(x^{2} + 2\right)^{2}} - \frac{\sin{\left(x \right)}}{x^{2} + 2}
P028,chain,exp(sin(x)),e^{\sin{\left(x \right)}},exp(sin(x))*cos(x),e^{\sin{\left(x \right)}} \cos{\left(x \right)}
P029,chain,sin(exp(x)),\sin{\left(e^{x} \right)},exp(x)*cos(exp(x)),e^{x} \cos{\left(e^{x} \right)}
P030,quotient,sin(x)/(x + 1),\frac{\sin{\left(x \right)}}{x + 1},cos(x)/(x + 1) - sin(x)/(x + 1)**2,\frac{\cos{\left(x \right)}}{x + 1} - \frac{\sin{\left(x \right)}}{\left(x + 1\right)^{2}}
P031,quotient,x**2/(x**3 + 2),\frac{x^{2}}{x^{3} + 2},-3*x**4/(x**3 + 2)**2 + 2*x/(x**3 + 2),- \frac{3 x^{4}}{\left(x^{3} + 2\right)^{2}} + \frac{2 x}{x^{3} + 2}
P032,quotient,sin(x)/(x + 3),\frac{\sin{\left(x \right)}}{x + 3},cos(x)/(x + 3) - sin(x)/(x + 3)**2,\frac{\cos{\left(x \right)}}{x + 3} - \frac{\sin{\left(x \right)}}{\left(x + 3\right)^{2}}
P033,product_chain,x**6*exp(x),x^{6} e^{x},x**6*exp(x) + 6*x**5*exp(x),x^{6} e^{x} + 6 x^{5} e^{x}
P034,quotient,x**3/(cos(x) + 2),\frac{x^{3}}{\cos{\left(x \right)} + 2},x**3*sin(x)/(cos(x) + 2)**2 + 3*x**2/(cos(x) + 2),\frac{x^{3} \sin{\left(x \right)}}{\left(\cos{\left(x \right)} + 2\right)^{2}} + \frac{3 x^{2}}{\cos{\left(x \right)} + 2}
P035,chain,exp(cos(x)),e^{\cos{\left(x \right)}},-exp(cos(x))*sin(x),- e^{\cos{\left(x \right)}} \sin{\left(x \right)}
P036,product_chain,x**9,x^{9},9*x**8,9 x^{8}
